trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.62783562999293,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.04399714926166,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.28391591390871,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.75611324904419,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.49415428725897,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.84918011452305,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.14741472732072,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,13,-58.014518423591696,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,19,-25.168617607687324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.94592317059468,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.5895915761867,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.65392951577702,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,13,-25.92563018228945,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.8025599386473,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.32194322083544,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.2611443859794,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.45777116353696,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,7,-125.13479542256587,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.49396728772146,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,5,-107.28356109372478,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,13,-40.928929010830444,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.63420904020188,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.90311666616753,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.6858059323914,"{0: 8, 1: 6, 2: 3, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.18763388453974,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.3748972344102,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.60676638202962,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,5,-78.71119581579919,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.60749083007886,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,6,-62.34830044461667,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 0}",1
