trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9753099120283326}",30,0,-136.32728166331714,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9512294245007139}",25,0,-194.2763349368171,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.9277434863285529}",20,0,-123.7955142843057,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9048374180359595}",35,0,-164.4362237676999,"{0: 19, 1: 3, 2: 11, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.8824969025845953}",20,0,-72.96936044381354,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.8607079764250578}",25,0,-136.5809250320592,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.8394570207692074}",25,0,-126.44861478044672,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.8187307530779818}",20,0,-138.30710933010175,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.798516218759377}",25,5,-46.970624720700535,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.3, 'e': 0.7788007830714049}",20,0,-37.07135364317086,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.7595721232249685}",25,18,-2.2239233459528984,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.3, 'e': 0.7408182206817179}",20,8,-10.552204970353435,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 0.7225273536420722}",25,0,-125.07566772752902,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
