trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-150.58160949775953,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9512294245007139}",25,0,-127.52261359917873,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,0,-132.8382661121863,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-94.81119587783525,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8824969025845953}",25,0,-171.32208246695353,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-83.97140698229413,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8394570207692074}",25,0,-32.5444008310473,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,3,-114.11162994780025,"{0: 15, 1: 0, 2: 2, 3: 4, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.798516218759377}",20,0,-84.8553970318884,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-151.69164573615117,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7595721232249685}",25,0,-71.08955126740963,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,11,-69.25753934906753,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.7225273536420722}",20,0,-70.71322493867287,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,14,-24.553398916312034,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.6872892787909722}",20,0,-68.32759183967276,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,7,9.153483853256231,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6537697851298473}",25,0,-51.45831170961705,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6376281516217732}",25,0,-54.50535146482464,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.62188505646502}",20,0,-79.80772409550701,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-11.6230776220917,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.5915553643668151}",25,0,-97.33403283423921,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.5769498103804866}",30,0,-38.07162932116796,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.5627048688069557}",25,0,-10.911119984776727,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,-120.99337012056647,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.5352614285189903}",25,0,-27.049240392811278,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-20.28680937668318,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5091564206075491}",20,0,-61.64719199304079,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
