trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-170.26832978236223,"{0: 41, 1: 10, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-451.375676888536,"{0: 18, 1: 0, 2: 11, 3: 4, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.85}",20,0,-297.9242699583656,"{0: 15, 1: 12, 2: 6, 3: 4, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8}",25,0,-324.9946903215497,"{0: 25, 1: 4, 2: 17, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.75}",20,0,-176.0802315533735,"{0: 30, 1: 0, 2: 4, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7}",25,0,-285.63926399077405,"{0: 30, 1: 4, 2: 10, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-257.0475137555816,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.6}",25,11,-284.31402482704095,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 4}",1
9,False,"{'a': 0.5, 'e': 0.55}",20,0,-127.8130770981155,"{0: 24, 1: 8, 2: 4, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5}",30,11,-292.8238689573208,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 6}",1
11,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,9,-173.62127416640405,"{0: 17, 1: 0, 2: 12, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,15,-18.376756137276157,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.35}",25,0,-373.8936903057321,"{0: 30, 1: 0, 2: 13, 3: 0, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-95.94105877897643,"{0: 31, 1: 4, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.25}",20,0,-343.4738868380303,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999996}",30,0,-39.870825662764595,"{0: 51, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,0,-137.89514291505915,"{0: 31, 1: 0, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,0,-67.44115006700625,"{0: 44, 1: 0, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,-109.78880862736958,"{0: 31, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.0}",20,0,-35.159748805634536,"{0: 34, 1: 2, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-176.03927331365207,"{0: 25, 1: 6, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-191.6910214145733,"{0: 28, 1: 2, 2: 3, 3: 4, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-30.49967155526251,"{0: 30, 1: 4, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-98.37551908988159,"{0: 42, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",35,8,-134.9965007337135,"{0: 33, 1: 10, 2: 9, 3: 2, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-136.65392856812136,"{0: 30, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-36.39491297096575,"{0: 43, 1: 14, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,11,-16.220721593039254,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-183.84452614317235,"{0: 34, 1: 8, 2: 4, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",30,0,-223.8511800046964,"{0: 47, 1: 2, 2: 4, 3: 2, 4: 5}",0
