trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9753099120283326}",25,0,-99.7719763017686,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9512294245007139}",20,0,-90.63828503266764,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.9277434863285529}",30,0,-156.5734226133404,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,0,-69.3791788167067,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.8824969025845953}",25,15,-18.008243918554086,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-78.6953589721812,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.8394570207692074}",20,0,-106.89914240397518,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.8187307530779818}",25,0,-105.17064804892989,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.798516218759377}",25,0,-61.54516935306221,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.7788007830714049}",20,2,-53.93399808970939,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.3, 'e': 0.7595721232249685}",25,0,-138.76967269724807,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.7408182206817179}",25,0,-118.96793409264559,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.3, 'e': 0.7225273536420722}",25,0,-141.82120856256034,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.7046880897187134}",25,0,-34.59371027330905,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.6872892787909722}",20,0,-73.39131594956059,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.6703200460356393}",20,0,-61.82171962857705,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.6537697851298473}",30,16,0.26913003326506146,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.6376281516217732}",20,11,-14.016219570456428,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.3, 'e': 0.62188505646502}",25,11,-33.27830037324806,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.3, 'e': 0.6065306597126334}",20,0,-30.30341442160789,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.5915553643668151}",30,5,-130.85807439247415,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
22,False,"{'a': 0.3, 'e': 0.5769498103804866}",30,6,-69.47309840149043,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.3, 'e': 0.5627048688069557}",25,0,-6.744448014677138,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.5488116360940264}",20,0,-3.0641836612913274,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.5352614285189903}",20,0,-86.25080474440031,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.522045776761016}",25,12,-3.9685498698139696,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.5091564206075491}",20,4,-151.79080649866572,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 3}",1
28,False,"{'a': 0.3, 'e': 0.49658530379140947}",25,0,-56.81242189015351,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.4843245689553624}",25,0,-114.23496234444787,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.4723665527410147}",20,0,-98.6176520946004,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.3, 'e': 0.4607037809989658}",25,0,-36.81157120452214,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.44932896411722156}",25,0,-56.56856501424522,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.3, 'e': 0.4382349924649492}",25,0,-111.31027802195271,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.3, 'e': 0.4274149319487266}",25,0,-53.936473749442946,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.4168620196785084}",20,0,-67.46248107600992,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
36,False,"{'a': 0.3, 'e': 0.40656965974059905}",20,0,-27.85461611727908,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
37,False,"{'a': 0.3, 'e': 0.3965314190749929}",20,0,-74.92840717587148,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.3867410234545012}",20,0,15.288396513263903,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.3771923535631569}",20,14,13.320320571733918,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.36787944117144233}",20,4,-15.317013685897532,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.35879646540595156}",35,19,3.3925022000443334,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.3, 'e': 0.3499377491111553}",35,14,-53.03465880833853,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
43,False,"{'a': 0.3, 'e': 0.3412977553009937}",20,5,-41.45692061578301,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.3, 'e': 0.3328710836980795}",25,13,26.2958265141604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.32465246735834974}",35,13,-38.531911353920805,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.3, 'e': 0.31663676937905316}",20,0,-21.072868649420215,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.3088189796880198}",25,12,-13.54260623762389,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.301194211912202}",30,0,-35.286274894295545,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.3, 'e': 0.2937577003235328}",25,6,31.631672838815895,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.2865047968601901}",20,5,-31.184703920630263,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.3, 'e': 0.2794309682214073}",20,0,13.278787370636918,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.2725317930340126}",30,7,25.178977249666158,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.3, 'e': 0.26580295908892654}",20,8,-32.03270318757186,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.3, 'e': 0.2592402606458915}",20,4,-41.49057628185003,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.25283959580474646}",20,6,9.045972294399592,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.24659696394160643}",25,15,21.30252807035347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.24050846320834215}",30,17,22.528032477420584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.2345702880937976}",20,0,5.644743514081264,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.3, 'e': 0.22877872704522242}",25,14,20.317751476535925,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.22313016014842985}",30,13,23.880442263158034,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.21762105686523284}",25,3,32.61597864960081,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.21224797382674304}",25,3,-32.56397501634157,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.3, 'e': 0.20700755268115262}",25,13,-11.907975360735952,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.2018965179946554}",20,3,13.97608666291964,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.19691167520419403}",20,14,9.84354167269175,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3, 'e': 0.19204990862075408}",25,13,-35.78365971726811,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.3, 'e': 0.18730817948195702}",20,4,-6.459027495905933,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.1826835240527346}",35,22,19.00383071726105,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.1781730517728984}",20,0,21.07530296929168,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.1737739434504451}",30,16,26.95082774203254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.16948344949947006}",25,16,4.246823956613727,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.16529888822158653}",30,2,4.720350042682661,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.3, 'e': 0.16121764412977674}",20,10,-1.7466231902743665,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.1572371663136276}",30,4,-3.296403079870556,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.15335496684492847}",25,19,10.14112298947878,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.14956861922263504}",25,9,24.629074942781806,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.14587575685622736}",20,16,10.20779977547358,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.14227407158651353}",25,13,12.727175586100541,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.13876131224295524}",20,13,9.563706860551996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.1353352832366127}",20,12,11.000410071297603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.13199384318783022}",25,8,16.85380456182523,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.12873490358780418}",20,16,7.689881445016179,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.3, 'e': 0.1255564274931972}",20,13,11.385730003681667,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.12245642825298189}",25,7,29.9940693860942,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.11943296826671962}",20,9,-9.487706370172205,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.11648415777349697}",25,15,19.338579909144766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.11360815367076371}",25,14,23.19287794003901,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.11080315836233387}",20,12,15.808540489055897,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.10806741863482927}",20,11,12.653990958244885,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.10539922456186433}",30,18,22.28505926222333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.1027969084352864}",35,9,40.603880283407584,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.1002588437228037}",20,14,4.516627091562952,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.09778344405135005}",25,7,3.9327896939363765,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.09536916221554961}",25,11,21.182751358116658,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.09301448921066349}",25,15,-4.6300240877059995,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.09071795328941248}",20,13,14.730624348495335,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.08847811904208727}",25,5,8.7641091874482,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.0862935864993705}",20,9,16.565218600252205,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.08416299025731036}",30,13,30.38207910049867,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.0820849986238988}",20,0,29.519621016602056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.08005831278672051}",25,5,13.527238322004278,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.07808166600115313}",25,17,17.201152473756192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.07615382279861033}",35,4,46.710150847718175,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.07427357821433388}",25,7,34.72977587617263,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.07243975703425147}",20,2,12.832065464372139,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.07065121306042955}",25,16,15.32744878608207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.06890682839466256}",25,4,36.2079242999075,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.06720551273974976}",30,17,14.002611056924366,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.06554620271802433}",25,10,17.1294534985146,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.06392786120670757}",25,5,20.855174889362267,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.062349476689673396}",25,19,-0.597663126349044,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.060810062625217945}",25,2,13.92549653260056,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.05930865682943872}",30,9,27.533314040353883,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.05784432087483846}",25,12,27.311537220453722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.05641613950377734}",20,3,30.571796524593513,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.05502322005640721}",20,10,17.959934633119598,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.053664691912730114}",20,1,33.80716078998228,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.05233970594843238}",20,14,10.77680200957554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.05104743400415439}",25,15,20.125351985474897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.049787068367863944}",25,12,23.215806547897333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.04855782127000995}",20,9,20.833006116004693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.047358924391140915}",20,6,-35.98116174545438,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.3, 'e': 0.0461896283816801}",25,12,-17.388580964457592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.3, 'e': 0.0450492023935578}",25,11,-14.736311725362594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.3, 'e': 0.04393693362340741}",20,12,15.367236634393107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.042852126867040166}",20,12,13.960876922504571,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.041794104084919896}",25,13,25.465697030576667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.04076220397836621}",20,8,10.397842294679428,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.0397557815762213}",20,12,14.780636421639098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.03877420783172201}",20,10,18.609020109619795,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.03781686922932507}",30,2,37.06076027412835,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.036883167401239994}",25,0,40.373873011175725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.3, 'e': 0.035972518753429654}",20,2,28.512320036332486,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.03508435410084502}",25,12,23.145990016767556,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.03421811831166603}",25,7,33.427423909182586,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
